TIMESTAMP,RECORD,Measure_1,Measure_2,Measure_3,Measure_4
2025-02-11 19:25:00,94767,-3.499733,-3.503606,8.046482,7.917608
2025-02-11 19:30:00,94768,-3.505075,-3.501068,8.042875,7.918544
2025-02-11 19:35:00,94769,-3.503205,-3.503739,8.043943,7.917074
2025-02-11 19:40:00,94770,-3.503739,-3.50187,8.037534,7.914403
2025-02-11 19:45:00,94771,-3.504273,-3.501202,8.038869,7.913335
2025-02-11 19:50:00,94772,-3.507612,-3.502537,8.042208,7.915071
2025-02-11 19:55:00,94773,-3.502404,-3.502938,8.043142,7.912667
2025-02-11 20:00:00,94774,-3.505609,-3.498397,8.040739,7.912667
2025-02-11 20:05:00,94775,-3.50227,-3.500267,8.040605,7.912267
2025-02-11 20:10:00,94776,-3.505342,-3.501736,8.039136,7.911866
2025-02-11 20:15:00,94777,-3.505876,-3.503205,8.037133,7.91467
2025-02-11 20:20:00,94778,-3.506944,-3.499065,8.041674,7.915071
2025-02-11 20:25:00,94779,-3.504273,-3.50414,8.036065,7.912
2025-02-11 20:30:00,94780,-3.503739,-3.50187,8.036198,7.911332
2025-02-11 20:35:00,94781,-3.504941,-3.501068,8.038468,7.906925
2025-02-11 20:40:00,94782,-3.501736,-3.502938,8.03286,7.914938
2025-02-11 20:45:00,94783,-3.501736,-3.50227,8.028987,7.90372
2025-02-11 20:50:00,94784,-3.502671,-3.501603,8.035797,7.906525
2025-02-11 20:55:00,94785,-3.503072,-3.498397,8.032459,7.921214
2025-02-11 21:00:00,94786,-3.505342,-3.499332,8.034195,7.909729
2025-02-11 21:05:00,94787,-3.502404,-3.501202,8.036198,7.906658
2025-02-11 21:10:00,94788,-3.504273,-3.503072,8.038468,7.906258
2025-02-11 21:15:00,94789,-3.504273,-3.501469,8.032059,7.90826
2025-02-11 21:20:00,94790,-3.505075,-3.501335,8.027785,7.907326
2025-02-11 21:25:00,94791,-3.502938,-3.50187,8.041272,7.905723
2025-02-11 21:30:00,94792,-3.502537,-3.499065,8.032726,7.892235
2025-02-11 21:35:00,94793,-3.499466,-3.497062,8.030323,7.901048
2025-02-11 21:40:00,94794,-3.502938,-3.503072,8.032191,7.902118
2025-02-11 21:45:00,94795,-3.503606,-3.502003,8.017769,7.90786
